years_experience,education_level,project_count,resume_length,github_activity,shortlisted
11,Masters,15,764,392,Yes
9,Bachelors,15,498,490,Yes
8,Bachelors,9,323,197,Yes
2,Bachelors,8,581,227,No
6,Masters,7,610,170,No
6,Masters,17,766,409,Yes
9,Bachelors,11,576,461,Yes
2,Bachelors,10,397,239,No
12,High School,10,640,438,Yes
14,Masters,16,840,550,Yes
15,Bachelors,14,890,471,Yes
12,Bachelors,18,544,530,Yes
3,Bachelors,9,478,219,No
6,Masters,12,473,266,Yes
6,Bachelors,10,616,197,Yes
14,Masters,13,730,608,Yes
9,Bachelors,12,626,343,Yes
13,Bachelors,12,791,420,Yes
9,Masters,7,608,270,Yes
5,Bachelors,7,511,202,No
7,Bachelors,5,268,230,Yes
12,PhD,15,531,535,Yes
14,PhD,24,900,635,Yes
7,High School,8,691,266,Yes
0,PhD,10,413,219,No
12,Bachelors,12,691,446,Yes
12,Masters,16,789,491,Yes
1,PhD,3,607,88,No
8,PhD,13,703,405,Yes
7,Masters,14,586,358,Yes
2,Masters,10,481,303,No
14,Bachelors,8,540,457,Yes
13,High School,12,680,467,Yes
8,High School,8,706,414,No
6,PhD,13,382,368,Yes
0,Bachelors,1,412,0,No
11,Masters,18,494,567,Yes
6,High School,5,506,136,No
5,Bachelors,8,363,179,No
14,Bachelors,16,829,653,Yes
5,Bachelors,12,461,236,Yes
4,Bachelors,8,530,246,No
13,Masters,25,852,674,Yes
1,Bachelors,6,399,67,No
15,High School,23,725,568,Yes
1,Masters,7,286,151,Yes
1,Masters,3,424,54,No
4,Masters,12,415,239,Yes
2,Masters,11,338,314,No
3,Masters,13,470,284,No
9,Bachelors,11,643,281,Yes
15,Bachelors,18,899,458,Yes
0,Masters,5,384,47,No
5,High School,10,477,280,Yes
15,Bachelors,18,767,576,Yes
5,Masters,11,540,336,Yes
7,Bachelors,16,539,391,Yes
7,Bachelors,9,703,236,Yes
14,Masters,18,793,570,Yes
14,High School,12,869,382,Yes
12,PhD,13,605,373,Yes
10,Masters,9,693,317,Yes
6,Bachelors,8,481,207,No
1,Bachelors,8,405,212,No
3,Masters,12,462,322,Yes
13,PhD,15,833,470,Yes
1,High School,5,397,105,No
5,Masters,12,690,286,Yes
7,Bachelors,10,613,397,Yes
5,Bachelors,7,523,260,No
14,Masters,17,710,558,Yes
3,Bachelors,7,636,175,No
6,Bachelors,9,586,298,Yes
5,Masters,10,466,258,Yes
14,Bachelors,15,730,430,Yes
8,Bachelors,14,606,357,Yes
14,Masters,16,825,451,Yes
2,Bachelors,6,400,206,No
4,Masters,11,512,346,Yes
15,Masters,14,822,484,Yes
8,PhD,18,499,432,Yes
7,PhD,10,579,343,Yes
15,Masters,16,840,502,Yes
2,Masters,8,434,119,Yes
9,Bachelors,10,662,457,No
5,Masters,12,456,422,Yes
10,Bachelors,8,875,331,No
12,Masters,18,754,606,Yes
13,Bachelors,11,765,373,Yes
7,Bachelors,11,718,422,Yes
14,Bachelors,13,768,519,Yes
9,Masters,16,495,480,Yes
14,Masters,15,664,592,Yes
12,Bachelors,15,471,445,Yes
5,Masters,7,616,251,Yes
4,High School,6,296,191,No
11,Masters,14,647,390,Yes
12,Bachelors,9,667,414,Yes
2,Masters,3,239,182,No
15,Bachelors,17,817,563,Yes
7,Bachelors,7,573,221,Yes
1,Masters,9,515,153,Yes
2,Masters,7,459,146,No
14,Bachelors,15,852,480,Yes
11,Bachelors,16,795,477,Yes
10,Bachelors,11,813,377,Yes
12,Masters,17,900,543,Yes
1,Bachelors,7,523,88,No
5,Bachelors,8,656,250,Yes
15,Masters,13,900,520,Yes
14,Masters,17,866,564,Yes
0,Bachelors,6,479,135,No
15,Bachelors,24,791,696,Yes
10,High School,7,625,279,Yes
0,PhD,2,223,58,No
9,Masters,17,753,456,Yes
5,Masters,7,392,276,Yes
11,Bachelors,11,566,347,Yes
8,Bachelors,7,570,273,Yes
5,Bachelors,8,563,220,No
8,Masters,13,592,361,Yes
6,Bachelors,8,491,221,No
11,Bachelors,10,813,372,Yes
9,Masters,16,710,522,Yes
12,Masters,19,854,519,Yes
9,Masters,15,684,466,Yes
11,PhD,11,622,388,Yes
9,Bachelors,9,645,352,Yes
4,Bachelors,9,337,221,Yes
4,Bachelors,5,519,152,No
15,Bachelors,11,780,581,Yes
0,Masters,6,266,187,No
3,Bachelors,11,330,214,No
5,Masters,7,726,314,Yes
9,PhD,10,491,364,Yes
13,Bachelors,10,822,445,Yes
8,Bachelors,12,633,360,Yes
4,Bachelors,6,612,135,No
15,Bachelors,14,669,447,Yes
9,Bachelors,13,503,429,Yes
7,Masters,12,529,321,Yes
11,Bachelors,11,690,351,Yes
0,High School,1,443,35,No
7,Bachelors,11,515,307,Yes
2,High School,9,396,166,No
13,Bachelors,17,592,528,Yes
4,Masters,12,573,250,Yes
10,Bachelors,9,672,315,Yes
1,Masters,11,277,295,No
14,Masters,13,698,401,Yes
8,Masters,17,435,506,Yes
2,PhD,6,493,77,Yes
11,High School,15,652,591,Yes
14,Masters,12,760,454,Yes
15,Bachelors,15,799,576,Yes
11,PhD,20,900,528,Yes
5,Bachelors,5,607,116,No
6,PhD,19,704,480,Yes
3,PhD,5,268,201,Yes
1,PhD,9,390,135,No
2,Bachelors,4,305,87,No
13,Bachelors,13,687,437,Yes
11,Bachelors,14,626,382,Yes
10,Bachelors,12,715,321,Yes
6,Bachelors,12,482,349,Yes
5,Masters,17,311,350,Yes
2,Bachelors,6,278,165,No
12,Bachelors,15,775,482,Yes
13,Masters,13,770,447,Yes
11,High School,10,746,391,Yes
0,Bachelors,6,519,82,No
11,Bachelors,9,657,458,Yes
0,Bachelors,4,231,119,No
9,Bachelors,9,642,323,Yes
4,High School,7,664,310,No
6,Bachelors,12,688,254,Yes
4,Masters,9,398,325,Yes
13,Masters,18,900,496,Yes
10,Masters,14,694,528,Yes
11,Masters,11,647,366,Yes
2,Bachelors,7,156,162,No
13,Bachelors,11,810,348,Yes
10,Bachelors,12,763,413,Yes
5,High School,8,632,310,Yes
13,PhD,19,456,703,Yes
9,Masters,9,585,330,Yes
11,Masters,15,755,501,Yes
12,Masters,10,827,307,Yes
3,Masters,9,596,264,Yes
7,Bachelors,6,469,261,Yes
13,Bachelors,9,770,533,Yes
4,Bachelors,9,501,209,Yes
10,Bachelors,10,597,226,Yes
15,Masters,11,788,379,Yes
5,Bachelors,6,575,296,No
14,PhD,9,837,333,Yes
15,Bachelors,17,803,590,Yes
12,Bachelors,19,899,466,Yes
14,Bachelors,16,734,557,Yes
3,Masters,8,293,253,No
15,Bachelors,18,853,584,Yes
2,Masters,8,331,158,No
10,Bachelors,16,609,463,Yes
13,Masters,16,630,418,Yes
7,Masters,17,489,526,Yes
3,Masters,9,363,121,No
7,Bachelors,10,593,236,Yes
6,Bachelors,11,537,398,Yes
13,Bachelors,11,705,451,Yes
9,Bachelors,16,301,476,Yes
0,Masters,4,485,50,No
1,Masters,4,441,205,No
3,High School,5,401,114,No
4,Bachelors,10,567,264,Yes
6,PhD,11,495,325,Yes
15,Bachelors,10,766,486,Yes
13,PhD,12,650,422,Yes
4,Masters,8,427,252,Yes
11,PhD,11,699,414,Yes
3,Masters,5,440,200,No
15,High School,7,872,461,Yes
5,Bachelors,5,606,212,No
14,Masters,22,882,664,Yes
11,Bachelors,16,710,621,Yes
11,High School,10,579,359,Yes
11,Bachelors,15,826,514,Yes
8,Masters,7,636,279,Yes
10,Bachelors,11,575,322,Yes
15,Masters,23,708,698,Yes
10,Bachelors,8,677,417,Yes
8,Masters,18,736,402,Yes
13,Masters,21,543,501,Yes
3,Masters,10,592,395,Yes
3,Masters,12,494,244,Yes
8,Masters,7,719,200,Yes
3,PhD,7,506,162,Yes
4,Masters,9,323,257,Yes
4,Masters,4,346,279,Yes
11,High School,14,814,423,No
3,Bachelors,6,332,87,No
8,Masters,13,641,467,Yes
10,Bachelors,13,650,519,Yes
2,Bachelors,8,219,136,No
0,Masters,2,305,0,No
9,Masters,14,659,359,Yes
4,Masters,12,436,344,Yes
12,PhD,16,852,377,Yes
13,Bachelors,10,731,310,Yes
14,Masters,15,777,524,Yes
8,Bachelors,8,785,254,Yes
12,High School,12,664,467,Yes
2,PhD,9,267,305,No
13,Masters,11,628,441,Yes
9,Masters,10,375,402,Yes
12,Bachelors,15,665,517,Yes
14,PhD,17,900,555,Yes
12,Bachelors,14,666,449,Yes
0,Bachelors,6,369,125,No
15,High School,9,899,401,Yes
11,Bachelors,9,831,362,Yes
9,Bachelors,14,658,471,Yes
4,Masters,14,397,483,Yes
0,Masters,3,389,33,No
1,Bachelors,4,503,156,No
15,Bachelors,15,868,471,Yes
2,Masters,8,408,114,No
7,High School,8,530,282,No
14,Masters,13,701,495,Yes
6,Bachelors,9,617,223,Yes
9,Bachelors,12,514,301,Yes
1,Masters,8,265,238,No
12,Bachelors,13,691,440,Yes
4,Bachelors,7,244,130,No
9,PhD,15,622,580,Yes
12,Bachelors,16,607,502,Yes
10,Masters,15,688,466,Yes
14,Bachelors,19,744,689,Yes
1,Bachelors,5,313,114,No
12,Bachelors,13,484,433,Yes
7,Bachelors,9,411,257,Yes
11,Bachelors,10,670,461,Yes
4,Bachelors,5,411,199,No
15,PhD,25,660,824,Yes
8,PhD,12,377,474,Yes
12,High School,15,737,462,Yes
15,Masters,16,900,516,Yes
5,Bachelors,8,446,253,Yes
9,Bachelors,11,695,397,Yes
5,Bachelors,7,594,178,Yes
0,Bachelors,5,306,71,No
13,Masters,14,764,489,Yes
11,Masters,10,806,340,No
5,PhD,9,452,265,Yes
15,Masters,25,809,691,Yes
2,Bachelors,4,443,192,No
9,High School,7,671,183,Yes
7,Bachelors,14,314,424,Yes
10,Masters,10,401,437,Yes
9,PhD,12,900,330,Yes
4,Bachelors,8,521,383,Yes
7,Bachelors,10,524,323,Yes
2,High School,2,635,87,No
4,Bachelors,5,625,49,No
11,Bachelors,14,638,487,Yes
3,Bachelors,7,427,223,No
13,Bachelors,19,549,469,Yes
11,Masters,16,792,490,Yes
2,Masters,4,473,26,No
9,Bachelors,11,547,292,Yes
13,Masters,20,507,637,Yes
10,PhD,14,648,335,Yes
14,Bachelors,16,900,485,Yes
14,Bachelors,11,602,332,Yes
11,Masters,15,427,406,Yes
5,Bachelors,10,202,253,No
1,High School,3,374,0,No
7,Bachelors,15,659,406,Yes
8,Masters,12,644,454,Yes
3,Bachelors,5,516,36,No
3,PhD,10,247,293,No
5,Bachelors,7,510,179,No
13,Bachelors,20,829,502,Yes
8,Bachelors,13,600,419,Yes
0,PhD,7,401,252,No
15,Bachelors,16,900,479,Yes
9,High School,5,689,192,Yes
6,PhD,18,533,466,Yes
13,High School,15,750,499,Yes
7,Masters,11,342,297,Yes
1,Bachelors,7,345,241,Yes
8,PhD,10,724,256,Yes
1,PhD,10,307,204,No
9,Bachelors,7,695,331,Yes
12,Bachelors,15,783,435,Yes
0,Bachelors,4,380,79,No
14,Bachelors,9,752,420,Yes
15,Bachelors,17,857,659,Yes
11,Bachelors,13,666,413,Yes
12,Bachelors,20,676,534,Yes
11,PhD,15,565,359,Yes
0,Bachelors,12,207,199,No
12,High School,17,744,550,Yes
9,Masters,14,707,409,Yes
6,Masters,14,472,258,Yes
12,Masters,10,509,375,Yes
1,Bachelors,4,266,157,No
1,Masters,6,479,64,No
0,PhD,3,320,0,No
14,Bachelors,12,780,351,Yes
0,Masters,7,360,126,No
15,Bachelors,13,766,516,Yes
2,High School,3,325,118,No
10,PhD,12,672,318,Yes
15,High School,20,761,590,Yes
5,Masters,7,497,130,Yes
5,High School,10,486,268,Yes
8,High School,6,458,277,Yes
11,Masters,11,736,304,Yes
11,Bachelors,14,865,448,Yes
15,Masters,12,857,512,Yes
6,Masters,16,649,494,Yes
11,Masters,15,645,491,Yes
4,High School,9,436,354,No
6,Masters,17,583,544,Yes
4,Bachelors,8,453,139,No
15,Masters,12,734,414,Yes
4,Masters,11,549,364,Yes
13,Masters,15,788,506,Yes
8,Bachelors,12,598,359,Yes
13,Masters,20,742,567,Yes
3,PhD,7,527,185,No
15,Bachelors,23,900,690,Yes
4,Bachelors,6,203,92,No
2,Bachelors,4,243,187,No
7,Masters,8,756,295,Yes
12,Masters,18,849,470,Yes
4,PhD,10,458,234,Yes
4,Masters,10,324,178,Yes
7,Bachelors,14,417,304,Yes
2,Bachelors,5,283,129,No
14,Bachelors,12,896,411,Yes
5,Bachelors,7,500,200,Yes
5,Masters,13,391,411,Yes
4,Bachelors,7,403,202,No
6,Masters,5,652,56,No
10,Masters,16,776,317,Yes
15,Masters,18,721,529,Yes
11,Bachelors,6,736,161,Yes
9,PhD,16,594,355,Yes
12,Bachelors,7,746,273,Yes
1,Bachelors,4,425,44,No
15,Bachelors,16,665,556,Yes
2,Bachelors,4,496,147,No
1,Masters,8,493,174,Yes
12,Bachelors,14,725,472,Yes
5,Bachelors,9,475,132,Yes
15,High School,13,791,440,Yes
1,Masters,6,465,233,No
8,PhD,14,656,298,Yes
15,Masters,18,802,538,Yes
8,Bachelors,7,691,368,Yes
3,Masters,5,498,179,No
14,Masters,20,858,619,Yes
1,High School,7,467,113,No
6,Bachelors,10,627,204,Yes
3,Masters,2,599,115,No
12,Bachelors,11,724,440,Yes
5,Masters,13,498,275,Yes
5,Bachelors,9,560,254,Yes
14,Bachelors,16,804,481,Yes
0,Bachelors,4,528,0,No
6,Bachelors,5,668,208,Yes
10,Bachelors,13,900,371,Yes
15,PhD,17,713,574,Yes
13,Bachelors,13,859,417,Yes
4,Masters,6,503,163,No
11,Bachelors,18,691,500,Yes
12,High School,17,710,381,Yes
0,Bachelors,4,552,27,No
6,Masters,11,664,309,Yes
13,Bachelors,13,534,455,Yes
5,Bachelors,11,543,370,Yes
6,Bachelors,9,570,335,Yes
8,Bachelors,14,499,350,Yes
15,PhD,19,900,624,Yes
9,Masters,7,639,289,Yes
13,Bachelors,15,549,564,Yes
6,Bachelors,9,539,322,No
6,Bachelors,12,376,441,Yes
14,PhD,12,722,527,Yes
4,High School,6,637,164,Yes
6,Masters,11,537,404,Yes
5,Masters,5,603,87,No
4,High School,10,182,331,No
13,Bachelors,16,666,510,Yes
4,PhD,3,444,153,No
7,Masters,14,443,363,Yes
3,Masters,7,420,168,Yes
1,High School,4,346,9,No
12,PhD,16,570,553,Yes
2,Bachelors,4,312,39,No
12,Masters,12,740,409,Yes
0,Masters,12,461,195,Yes
3,Bachelors,11,278,229,No
8,PhD,12,672,283,Yes
10,Bachelors,15,692,490,Yes
2,PhD,9,396,193,Yes
6,Masters,14,530,380,Yes
15,Bachelors,19,877,597,Yes
10,Bachelors,12,651,412,Yes
7,Masters,8,600,232,Yes
11,High School,15,675,533,Yes
7,Masters,7,405,341,Yes
12,Bachelors,16,707,443,Yes
15,Masters,20,900,579,Yes
1,Masters,10,527,189,No
7,Bachelors,11,612,421,Yes
4,Bachelors,10,340,259,No
7,Bachelors,11,447,318,Yes
13,Bachelors,11,687,415,Yes
0,Masters,3,224,11,No
10,Bachelors,6,527,286,Yes
7,Bachelors,10,824,317,No
6,PhD,17,357,411,Yes
14,Bachelors,17,739,377,Yes
3,Bachelors,6,325,132,No
9,Bachelors,10,726,376,Yes
2,Bachelors,7,433,171,No
6,Masters,14,328,411,Yes
4,Bachelors,7,463,214,No
8,Bachelors,5,424,231,Yes
8,Masters,13,502,310,Yes
9,Masters,13,599,368,Yes
10,PhD,14,665,464,Yes
3,Bachelors,8,313,204,No
5,Bachelors,12,570,342,No
4,High School,7,369,170,Yes
5,High School,4,642,228,No
13,Masters,14,673,547,Yes
1,Bachelors,10,340,154,No
5,Masters,9,372,256,No
4,Masters,8,567,93,Yes
2,PhD,4,427,110,No
0,High School,3,269,113,No
5,High School,5,718,107,No
7,Masters,13,654,508,Yes
9,Masters,13,700,293,Yes
15,Masters,9,755,417,Yes
14,Bachelors,12,807,425,Yes
0,Masters,3,396,110,No
10,High School,10,574,310,Yes
10,PhD,15,795,358,Yes
4,Masters,5,553,196,No
11,Masters,11,648,352,Yes
5,PhD,10,565,271,Yes
4,Bachelors,14,511,359,Yes
11,Masters,11,807,542,Yes
5,Masters,7,702,159,Yes
10,Bachelors,9,688,270,Yes
13,Masters,22,850,646,Yes
11,Masters,21,716,516,Yes
8,Masters,15,400,313,Yes
13,Bachelors,11,742,320,Yes
14,Bachelors,15,792,501,Yes
0,High School,5,399,48,No
6,Bachelors,15,518,336,Yes
8,Bachelors,9,667,243,Yes
3,Masters,3,458,64,No
8,Masters,6,591,243,Yes
8,Bachelors,9,560,344,Yes
9,Bachelors,11,664,348,Yes
13,Bachelors,19,572,679,Yes
9,PhD,15,568,347,Yes
1,PhD,13,428,253,Yes
10,Bachelors,14,453,449,Yes
6,Bachelors,6,639,328,Yes
1,High School,3,579,95,No
1,High School,10,537,138,Yes
15,PhD,18,742,651,Yes
5,PhD,9,418,206,Yes
7,Bachelors,10,529,406,Yes
12,Masters,14,623,502,Yes
9,Masters,12,667,396,Yes
1,Bachelors,6,462,172,No
7,PhD,11,589,349,Yes
5,Masters,13,642,339,Yes
2,Masters,3,434,58,No
12,Masters,22,849,488,Yes
14,Bachelors,14,752,339,Yes
6,Bachelors,2,404,152,No
1,Bachelors,6,390,176,No
6,Bachelors,12,313,451,No
8,High School,15,622,383,Yes
12,Masters,11,549,400,Yes
8,Bachelors,8,525,295,Yes
7,PhD,8,614,198,Yes
5,Masters,9,410,256,Yes
6,Bachelors,6,381,241,Yes
1,Masters,4,514,75,No
1,PhD,6,482,44,No
10,Masters,13,561,471,Yes
13,High School,9,651,405,Yes
14,High School,10,761,525,Yes
2,Bachelors,4,605,93,Yes
12,Masters,11,799,483,Yes
1,Bachelors,1,443,80,No
8,High School,3,394,244,Yes
15,Bachelors,17,900,612,Yes
10,Bachelors,12,496,293,Yes
12,Bachelors,20,825,640,Yes
11,Bachelors,12,756,335,Yes
13,High School,9,876,358,Yes
13,High School,14,769,403,Yes
1,High School,5,278,109,No
8,Bachelors,11,900,332,No
5,Masters,5,683,65,No
8,Masters,19,379,467,Yes
7,Bachelors,11,677,391,Yes
0,Masters,6,163,117,No
10,Masters,13,667,379,Yes
4,Bachelors,8,466,309,No
6,Masters,10,561,236,Yes
13,Bachelors,20,778,730,Yes
1,Bachelors,3,416,27,No
15,Masters,16,879,593,Yes
5,Masters,10,356,311,No
2,Bachelors,8,454,211,No
1,PhD,12,301,228,Yes
0,PhD,8,424,166,No
7,Masters,7,528,169,Yes
15,PhD,10,774,479,Yes
7,Bachelors,6,610,239,No
7,Masters,8,551,327,Yes
11,Bachelors,9,761,385,Yes
3,Masters,7,522,107,No
15,High School,15,864,538,Yes
14,PhD,14,900,477,Yes
4,Bachelors,8,468,252,Yes
10,High School,9,687,294,Yes
1,Masters,4,409,227,No
7,PhD,15,525,333,Yes
11,High School,13,692,404,Yes
5,Bachelors,6,351,90,No
0,Bachelors,9,379,118,No
15,Masters,14,639,548,Yes
5,PhD,14,460,336,Yes
7,Bachelors,9,641,237,No
1,Masters,8,339,195,No
10,Bachelors,11,689,403,Yes
8,Masters,14,457,362,Yes
7,Bachelors,14,533,453,Yes
6,Masters,7,545,318,Yes
10,Bachelors,9,561,272,Yes
15,Bachelors,11,844,358,Yes
6,Masters,11,540,256,Yes
15,Masters,18,753,625,Yes
10,Masters,11,783,455,Yes
14,Bachelors,15,707,491,Yes
0,Masters,5,399,149,No
14,PhD,16,900,541,Yes
10,Masters,11,744,363,Yes
7,Bachelors,7,569,218,Yes
10,Masters,17,692,558,Yes
7,High School,12,344,325,Yes
12,Bachelors,13,626,514,Yes
12,High School,9,796,445,Yes
7,Masters,15,705,402,Yes
7,Masters,10,657,270,Yes
6,Masters,11,622,365,Yes
10,Bachelors,12,729,403,Yes
2,High School,2,494,0,No
15,Masters,22,790,745,Yes
11,Masters,12,640,435,Yes
7,Masters,13,333,468,Yes
8,Masters,13,713,400,Yes
6,Bachelors,9,257,177,No
6,Masters,10,471,225,Yes
1,PhD,6,453,232,No
10,Bachelors,6,646,374,Yes
10,Bachelors,10,763,206,Yes
8,High School,14,469,400,Yes
6,PhD,9,489,187,Yes
6,Bachelors,3,630,182,No
6,Bachelors,10,640,190,Yes
7,Bachelors,14,801,416,Yes
1,Bachelors,7,425,109,No
1,Masters,9,339,215,No
5,Masters,8,614,169,Yes
14,Bachelors,14,646,472,Yes
13,Masters,16,703,552,Yes
13,Bachelors,14,748,442,Yes
4,Bachelors,7,592,91,No
14,Bachelors,12,900,455,Yes
1,Bachelors,5,258,159,No
4,Masters,12,472,235,No
7,Bachelors,11,533,355,Yes
3,Bachelors,6,401,195,No
6,Bachelors,7,570,217,No
6,Bachelors,7,644,250,Yes
3,High School,11,232,248,No
11,Masters,9,625,369,Yes
8,Masters,14,281,355,Yes
1,Bachelors,6,565,156,No
12,Masters,6,833,311,Yes
15,Masters,19,856,615,Yes
15,PhD,13,869,541,Yes
11,PhD,16,862,419,Yes
13,Bachelors,11,800,352,Yes
4,Masters,8,229,342,No
10,PhD,14,606,437,Yes
3,PhD,11,232,302,Yes
13,Bachelors,13,825,607,Yes
12,PhD,17,666,490,Yes
8,Bachelors,10,525,268,Yes
10,Bachelors,10,679,398,Yes
15,Masters,12,600,310,Yes
1,Bachelors,8,350,127,No
12,Bachelors,17,726,492,Yes
14,Bachelors,20,676,646,Yes
1,Masters,5,346,87,No
11,Bachelors,9,629,367,Yes
2,Masters,6,403,50,No
2,Masters,7,253,149,No
7,Masters,13,514,346,Yes
14,Masters,14,900,449,Yes
7,Bachelors,9,567,227,Yes
13,Bachelors,21,794,469,Yes
11,Masters,12,707,239,Yes
4,Bachelors,8,427,233,Yes
11,Bachelors,9,769,360,Yes
0,Masters,8,426,131,No
13,Bachelors,14,708,554,Yes
2,Masters,6,252,100,No
9,Masters,15,893,351,Yes
3,Masters,5,556,342,No
10,Masters,7,684,341,Yes
14,Masters,11,666,451,Yes
6,High School,5,430,103,No
0,Masters,3,455,113,No
1,Masters,8,249,243,No
2,Bachelors,5,448,0,No
5,Bachelors,7,389,211,No
13,High School,22,674,627,Yes
6,Masters,11,429,393,Yes
14,High School,17,891,512,Yes
1,Bachelors,2,630,64,No
7,Bachelors,11,664,289,No
4,Masters,10,339,210,Yes
1,Bachelors,6,585,116,No
8,Bachelors,9,671,318,Yes
15,Masters,14,785,620,Yes
14,Masters,14,679,504,Yes
6,Bachelors,16,534,317,Yes
3,PhD,11,391,309,Yes
9,Bachelors,11,547,378,Yes
8,Masters,20,772,564,Yes
8,Bachelors,10,511,291,Yes
12,Bachelors,13,900,392,Yes
1,Masters,8,533,0,No
9,High School,9,786,307,Yes
4,Masters,9,324,272,Yes
12,Bachelors,13,440,440,Yes
14,Masters,12,752,513,Yes
12,PhD,17,745,396,Yes
5,Masters,13,536,354,Yes
7,Masters,9,480,208,Yes
0,Bachelors,4,341,149,No
11,PhD,16,673,540,Yes
6,High School,6,538,208,Yes
5,Bachelors,10,489,301,Yes
4,Bachelors,4,301,116,No
15,Bachelors,16,856,424,Yes
14,Bachelors,18,719,529,Yes
4,Masters,14,557,327,Yes
12,Bachelors,14,729,398,Yes
8,Masters,18,460,558,Yes
1,Bachelors,4,150,123,No
3,Masters,5,624,55,No
9,PhD,17,654,424,Yes
11,Masters,7,731,417,Yes
9,High School,13,393,411,Yes
9,Masters,13,568,452,Yes
15,Bachelors,13,900,472,Yes
14,Bachelors,18,758,577,Yes
11,Masters,14,662,505,Yes
9,PhD,17,607,415,Yes
10,PhD,14,900,499,Yes
10,Masters,11,645,278,Yes
0,Masters,6,150,63,No
15,Bachelors,9,793,423,Yes
3,Bachelors,3,491,85,No
3,Bachelors,4,549,177,No
10,Masters,10,587,363,Yes
6,Bachelors,7,665,253,No
11,Masters,17,627,523,Yes
12,PhD,18,867,687,Yes
9,Masters,11,542,392,Yes
13,Bachelors,17,716,591,Yes
6,Bachelors,8,305,225,Yes
9,Bachelors,8,692,389,Yes
12,PhD,21,842,579,Yes
2,Masters,10,392,266,Yes
6,High School,6,632,227,No
2,Masters,6,498,90,No
14,Masters,11,807,496,Yes
14,Bachelors,16,900,497,Yes
8,Masters,17,395,406,Yes
8,Masters,13,819,415,Yes
5,Bachelors,7,506,216,Yes
5,High School,8,410,312,No
12,High School,17,407,574,Yes
11,Bachelors,13,597,438,Yes
15,Bachelors,25,697,754,Yes
6,Masters,11,576,460,Yes
11,Masters,19,501,558,Yes
12,Bachelors,9,686,383,Yes
4,Masters,5,681,224,No
8,Bachelors,6,607,305,Yes
0,Bachelors,3,521,67,No
3,High School,7,216,166,No
4,PhD,10,680,279,Yes
12,Masters,17,836,497,Yes
3,Masters,5,414,150,No
12,Masters,11,703,430,Yes
5,Masters,7,518,193,No
4,Masters,7,427,263,No
6,Bachelors,10,579,374,Yes
15,Masters,23,818,730,Yes
12,Masters,15,547,432,Yes
7,Bachelors,7,555,265,No
12,Bachelors,16,612,437,Yes
11,Bachelors,14,772,327,Yes
6,Bachelors,8,452,236,Yes
15,Masters,14,544,576,Yes
0,Masters,4,332,153,No
5,Bachelors,10,489,288,Yes
2,Masters,5,473,194,Yes
13,High School,20,692,625,Yes
5,Bachelors,5,448,244,No
2,Bachelors,5,494,79,No
6,Bachelors,10,605,367,Yes
3,Bachelors,10,588,335,No
2,Bachelors,9,351,282,No
15,Bachelors,13,841,419,Yes
2,Bachelors,13,432,257,Yes
7,Masters,8,483,222,Yes
10,Bachelors,12,541,431,Yes
12,Bachelors,10,745,376,Yes
14,Bachelors,21,900,487,Yes
0,Bachelors,6,237,61,No
13,Masters,12,600,431,Yes
13,Bachelors,20,728,642,Yes
1,PhD,9,309,274,Yes
12,Bachelors,13,547,450,Yes
9,Masters,10,551,344,Yes
0,Masters,4,347,31,No
15,Masters,18,670,642,Yes
9,Bachelors,10,770,288,Yes
13,Bachelors,14,578,540,Yes
9,PhD,13,836,380,Yes
7,Masters,10,564,342,Yes
7,Bachelors,11,511,319,Yes
8,Masters,12,510,455,Yes
7,Masters,12,457,284,Yes
2,Masters,9,353,271,No
1,Bachelors,8,275,159,No
12,High School,8,694,288,Yes
3,Bachelors,4,554,121,No
5,Masters,10,655,311,Yes
7,Bachelors,14,652,480,Yes
6,Masters,7,554,171,Yes
6,Bachelors,11,427,373,Yes
6,Bachelors,8,775,294,Yes
9,High School,7,569,134,Yes
11,PhD,15,665,519,Yes
2,Bachelors,3,363,183,No
15,High School,17,644,671,Yes
0,Bachelors,9,326,219,No
9,Masters,11,624,390,Yes
15,Bachelors,20,760,699,Yes
5,Bachelors,7,435,203,No
2,Bachelors,4,378,78,No
8,Bachelors,13,477,423,Yes
13,High School,11,488,430,Yes
0,Bachelors,3,577,0,No
7,High School,10,735,315,Yes
7,Masters,5,451,176,Yes
11,Masters,17,876,517,Yes
1,Bachelors,3,491,62,No
9,PhD,19,687,567,Yes
12,Bachelors,15,776,437,Yes
5,Masters,6,541,193,Yes
12,Bachelors,12,720,508,Yes
11,High School,4,564,320,No
3,PhD,5,439,109,Yes
12,Masters,14,731,425,Yes
3,Masters,9,584,266,Yes
0,High School,0,476,0,No
12,Bachelors,14,801,461,Yes
5,PhD,11,416,256,Yes
12,Masters,8,696,291,Yes
7,Masters,17,624,496,Yes
3,Bachelors,5,643,151,No
9,Bachelors,13,747,396,Yes
10,Bachelors,11,610,461,Yes
10,Bachelors,4,703,192,Yes
1,PhD,4,180,167,No
11,Masters,10,567,329,Yes
11,Bachelors,9,538,389,Yes
7,Bachelors,11,394,299,Yes
5,Bachelors,8,420,287,Yes
10,Bachelors,11,504,329,Yes
1,Masters,9,242,137,No
7,Masters,14,629,438,Yes
7,Masters,13,844,409,Yes
8,Masters,13,408,399,Yes
0,Bachelors,5,400,116,No
10,Masters,18,567,631,Yes
12,Masters,12,753,435,Yes
